"","x"
"178","Zone 6 service pins were presented to: Five years: Trooper Derek Weh; 10 years: Special agents Steven Jackson, Sean King, Patrick McGuire, Tyson Melvin; 15 years: Special agents Brian Ewing and David Lanier"
"179","In fact, the commission’s report contains numerous examples of irregularities at most of the 58 schools."
"180","Growing your own vegetables and herbs is not just for those with large yards and great soil. There are several raised garden bed options out there that can get you the space and soil quality you need to have your own green space, regardless of your location."
"181","Pleading guilty in the case were Jeffrey Leon Battle, Patrice Lumumba Ford, Maher Mofeid Hawash, Muhammad Ibrahim Bilal and Ahmed Ibrahim Bilal."
"182","It's a refrain oft heard in the streets of Indianapolis, lobbies of hotels and halls of a football-centric attraction called The NFL Experience here at the Super Bowl."
"183","Although Christie did not attend either event, his father, Bill Christie, sat right up front at the Middletown announcement."
"184","Alexander said all of those unanswered questions make it nearly impossible to predict if or when any of the competitors will be able to produce a viable alternative to the iPad."
"185","Gingrich finished his remarks by praising Chrysler's controversial ""Halftime in America"" commercial, which aired during Sunday's Super Bowl. Many saw political undercurrents in the spot, in which actor-director Clint Eastwood talks of the auto industry revival in Detroit."
"186","In a statement Tuesday, Huckabee said that while he believes what people do in their private lives is their business, ""I do not believe we should change the traditional definition of marriage."" He also said he thought the college magazine was sensationalizing his ""well-known and hardly unusual views of same-sex marriage."""
"187","* Portland police detectives spend a lot of time investigating cases that take place in the woods (perhaps they have a special forest crime squad?);"
"188","6. While the shrimp is in the freezer, make the dipping sauce: In a small bowl, stir together chile sauce, soy sauce, vinegar and mustard. Meanwhile, return the oven to 400 degrees."
"189","The best recent example came in 2011 when voters in Jackson and Clay counties approved a sales tax increase to build a better Kansas City Zoo. People liked what they were told would be done with their money. They trusted that zoo director Randy Wisthoff would continue building a better facility."
"190","""It was our responsibility to help them find a place to live, get to appointments and get settled,"" said Sylvia Eagan, then pastor at the Peace Church of the Brethren in Southeast Portland. ""Only four of five of them spoke any English."""
"191","Waste Management's expansion into organic fertilizers is part of a broader organic recycling strategy that includes producing methane gas from its landfills to power vehicles, heat homes and generate electricity."
"192","Former Justice Peter Verniero, who listened to nearly two hours of arguments in the gallery, acknowledged the pressure the justices will face in ruling on a judicial matter, but said they are used to deciding high profile, controversial cases."
"193","930 Marshall Av #A, $57,500"
"194","""We might get a year with none. We might get two to three a year,"" Gates said. ""Most are so small people don't even notice them."""
"195","China's Sany Group, the world's sixth-largest construction machinery builder, is buying a 90% stake in Germany's Putzmeister Group, a leading manufacturer of concrete pumps, to boost its presence overseas."
"196","""The Mikado"": Mocks Crest Productions at the University of Portland is having open auditions for the Gilbert and Sullivan show Jan. 30. 503-943-7228."
"197","A Lane County grand jury has indicted a Christmas Valley semi-truck driver in relation to a fatal traffic crash in March caused by several large hay bales falling from his trailer."
"198","Anthony answered his critics who blasted his playoff winning percentage (32%) and his performance against the Heat after Game 3."
"199","A National Export Initiative Seminar for Biomedical Companies: 8:30 to 11:30 a.m. at Cuyahoga Community College, Corporate College East, 4400 Richmond Road, Warrensville Heights. $10 for BioOhio members, $20 nonmembers. Go to tinyurl.com/4og9g7w to register."
"200","Gov. Rick Perry had remained silent on the controversy until telling reporters in Florida recently that he opposes putting the Confederate battle flag image on Texas license plates."
"201","LeBron and whatever poor soul guards him. Iman Shumpert may get the first crack in a cross-match, and while the rookie is undeniably ahead of the curve, he’s still a rookie. And after he sits down with three fouls midway through the first quarter, Carmelo Anthony will take a shot at it and then decided it’s more fun to expend energy at the other end. Past, prologue: The last time they played, Melo had 42 and the Knicks still lost."
"202","There’s nothing to suggest there were other incidents — at least not in Elizabeth, where Powell lives, Saulnier said. The first two occurred in Linden, followed by two in Elizabeth, then two more in Linden, he said."
"203","The proposal is scheduled for a vote on Friday by the Port Authority's board of commissioners. If the board approves the plan, it is subject to veto within 10 days by either Gov. Chris Christie or his counterpart across the Hudson, Gov. Andrew Cuomo of New York."
"204","The two both love spending time with their three grandkids, and Case especially enjoys seeing her ex-husband embrace his role as a grandfather."
"205","Adding to the incentive for Mexicans to stay put are the heightened dangers along the border, beefed-up border enforcement and a sharp increase in deportations under the Obama administration. (A record high 400,000 people were deported last year alone.)"
"206","Mergenthaler is a veteran of many Scotch broom-pull parties and acknowledges the irony in welcoming the discovery of a non-native insect."
"207","Area bakers, restaurants, schools and businesses team up to create the one-of-a-kind houses."
"208","Right tackle Kareem McKenzie (toe) and DE Justin Tuck (shoulder/ankle) are listed as probable. They missed practice on Thursday but practiced in a limited capacity the past two days."
"209","Parents also asked the opinion of assistant director of curriculum Denis Hickey, who was also present. Hickey, who helped start the school, could not be pinned down for a picture of exactly how the consolidation will look either, but conceded that the program will be different."
"210","The defense argued that Garcia acted in self-defense when De Lucca ignored warnings to stop and drove his car at Garcia at high speed."
"211","Next step: Grigson and his staff were back on the phones after the draft, trying to sign 20 or so players who were not picked. All rookies will participate in a three-day minicamp that opens Friday."
"212","Karma Kafe, 505 Washington St., Hoboken; (201) 610-0900; karmakafe.com."
"213","Hopkins, who went 10-2 with one save and a 2.24 earned-run average as a junior, had been considering junior colleges as well as Division II Lindenwood University before the Cougars offered him an opportunity."
"214","The jurors were dragged back for a grilling, but no one drew suspicion. Police never filed charges in the murders. Everyone figured Wortman took care of it."
"215","Records show that Clancy worked 100 percent time in Iowa and 75 percent time at the U for 17 months. His U position paid benefits and a salary of $75,000. The hospital also was aware of the situation, and Delaney was impressed with Clancy's output, according to an internal U of M report in response to Star Tribune inquiries."
"216","Makes three servings. Each serving has 70 calories, 0 grams (g) of fat, 14 g of"
"217","Day, the Brentwood Whole Foods Market, 1401 South Brentwood Boulevard, will host a free sampling of 10 hot sauces from 3-6 p.m. Sunday. Everyone who finishes all 10 sauces will receive a free bottle of hot sauce. For more information, call 314-968-7744."
"218","SOUTH BRUNSWICK -- Innovative technology is changing the way police and emergency workers do their jobs, and possibly save lives."
"219","Since then, federal officials have periodically re-asserted their authority to prosecute federal crimes, including marijuana distribution, regardless of state law. But Cole's memo is the clearest statement to date that the Obama Administration does not believe dispensaries should have legal shelter."
"220","Initial unemployment claims fell by 3,000 to a seasonally adjusted 456,000, the Labor Department said Thursday. That's the third straight drop. However, claims haven't moved below where they stood in January."
"221","The actress, 21, told The Sun: ""I didn't know until the interviewers told me that all the fans were p****d because I was blonde. Then I was like, 'What? Damn, I'll just dye my hair'."
"222","Winning an Olympic gold medal has been a goal of Rose's, but he may never get the chance if what NBA Commissioner David Stern told ESPN Radio's Colin Cowherd on Monday becomes a reality."
"223","Though the Cardinals put him in center and at second base to get his bat in the lineup, Craig was limited by his knee injury. In midseason, he cracked his right kneecap when crashed into a metal fence at Houston's Minute Maid Park. Craig had five homers, 11 RBIs and a .375 average in the final 10 games of the season, helping to spur the Cardinals to the National League wild card."
"224","In Miami, ""it wasn't even a minute,"" Jason said, ""and Evens asked, 'Go fly?'"
"225","That's why Romney's shift to Obama's side in the president's battle with House Republicans over student loans may be his most instructive flip-flop yet. It shows that Romney will do all he can to soften his underlying radicalism. His goal is to deprive Obama of ways to reveal the concrete impact of free-market utopianism -- and the price of the cutbacks Romney embraced by endorsing Rep. Paul Ryan's budget."
"226","In conjunction with Earth Day, the Science Museum is opening a new permanent exhibit Saturday called ""Future Earth."" The exhibit, produced in-house with a grant from the National Science Foundation, looks at how humans have affected the Earth over the years, while addressing innovations and solutions needed for future generations' survival."
"227","I told him this really shouldnt be a difficult contract,"" Irsay said."
"228","From LAX, American Airlines and LAN offer connecting service (change of plane) to Arequipa via Lima, Peru. For a more economical option, consider booking your first leg from LAX to Lima, then booking a separate connection on StarPeru, the regional low-cost airline. Star Peru operates flights between Lima and Arequipa daily."
"229","She's the group's second Olympian overall; Brian Sell captured the third and final U.S. men's marathon berth for the 2008 Beijing Games at the trials staged in late 2007 in New York."
"230","People are connected to the Web more than ever, and now Portland residents can go online to report certain crimes instead of using their phones."
"231","There are, of course, more films planned, but so far, the movie franchise doesn’t deliver the fantastic imagery and moral parables of the “Harry Potter” series (or even the sexual power and cultural subtext of the “Twilight” saga). Director Gary Ross is visually impoverished and the too-blatant overemphasis on satirizing reality TV only distracts from the book’s other, far more interesting themes."
"232","Bass explores the myriad ways in which that teaching has been interpreted and embodied. The result is sometimes subversive and often joyful: In Bass' telling, Jesus is a ""religious revolutionary"" who led a People's Crusade of ""humility, hospitality, and love."""
"233","Roseville 001 031 1  6 5 0"
"234","She was the wife of the late William; mother of Mary C. Janosik, John Janosik (Andrea) and Ann Ortega (Hector); grandmother of four; sister of Robert and James Gogola and the late Madonna Zglobicki."
"235","Over the years, Sandoval has greeted visitors to his tamale shop with the latest political gossip. If it were election season, he would light up a Parliament, put on reading glasses and pull a piece of paper from his pocket."
"236","Alpha will move the Blazers to KXL (750), on of its AM stations, which while having a strong signal, does not have a clarity of an FM broadcast."
"237","an online community of shoe lovers who appreciate that shoes can make or break the perfect outfit."
"238","The vitamin supplement Geritol, which once touted itself as a tonic for ""tired blood,"" sponsored an array of '50s shows, including ""To Tell the Truth"" and ""Ted Mack and the Original Amateur Hour"" — which Gallen has put online. Geritol was made by J.B. Williams, later bought by Nabisco, then sold to Beecham, which eventually merged with what is now GlaxoSmithKline, whose legal department, from the looks of it, is the size of Iowa."
"239","Added his wife, Karen: ""I don't think he knew quite how unhappy he was. He was kind of a zombie."""
"240","Shaun, sitting behind his mother in the backseat, was struck in his back and right thigh. The others weren't hit, but a tire on their Grand Prix was shot."
"241","In its West Region opener, MU tumbled 86-84 against 15th-seeded Norfolk State of the Mid-Eastern Athletic Conference - whose members had been 0-41 against schools from the six power conferences this season."
"242","Now, each morning I read headlines about the Tibetan lockdown by the Chinese. The other day, I bought vegetables from a Tibetan exile who lives on Long Island. What a terrible thing is happening in Tibet, I said. ""Yes,"" he replied, ""but it is making everyone aware of what is going on, so this is a good thing."""
"243","The back breaker that sent most of the 18,382 headed into the warm Southern California night was a hot-potato three-pointer from Aldridge -- caught and released in a hurry in order to beat the shot clock. It swished -- part of a redemptive fourth quarter for Aldridge -- giving the Blazers an 89-80 lead with 3:48 remaining."
"244","“I’m a woman now,” she said. Not just in the physical sense, but in the sense of being able to focus on the tasks at hand, and accept situations and learn from them.”"
"245","With the sun at its peak, we break for lunch. Sitting next to our leader, I ask, ""When are we going rustling?"" Evidently, it's not intended for beginners. Later that day, I approach him again. ""I love the rides, but I have a dream of rustling."" He has noticed my abilities and says, ""OK, miss, you want to rustle some cows. . . . You come with me tomorrow."""
"246","""That just means those trucks are even more important than we thought,"" Citi's Michaeli said."
"247","A Fidelity spokeswoman said the Apple holding has benefited Contrafund shareholders and is a result of the manager's ""rigorous investment process."" A DWS spokeswoman says the managers of DWS Large Cap Focus Growth, a portfolio of 35 stocks, look for companies that have attractive valuations, will benefit from strong secular growth stories and have products that are gaining market share."
"248","1 tablespoon minced fresh sage"
"249","And all of the new hires came from service providers, who took on 123,000 new workers. Goods-producing companies trimmed their headcount by 4,000 employees."
"250","Pryor was suspended for accepting improper benefits, such as cash and discounted tattoos, and he eventually left school. Before that, the scandal led to Tressel's forced resignation. The coach acknowledged knowing his players were taking improper benefits, but covered it up for more than nine months before university officials discovered his knowledge."
"251","The Council will also be asked to approve their own compensation: Each Council person will make $24,130 and the Council president will make $26,541."
"252","The district fared no better in its case against elementary school special education teacher Gloria Hsi, despite allegations that included poor judgment, failing to report child abuse, yelling at and insulting children, planning lessons inadequately and failing to supervise her class."
"253","Rutgers is ranked 191st (out of 336 schools) in scoring, averaging just 60.5 points per game."
"254","Since that ruling, pay rates were rolled back to their 2005 levels."
"255","""With these kinds of funds, I could have gone and built a lot of parks, fire stations, bought a lot of police cars, firetrucks,"" Brady said. ""And those are things we absolutely need."""
"256","""We’re hopeful, but we don’t know how hopeful we should be until we get the breakdown,"" of how much each aid each district will receive, Broach said."
"257","""The gross disparities that caused the court to intervene in the past do not exist,"" she said. ""There is not the vast disparity in education funding between wealthy districts and the Abbott district."""
"258","Calderon's conservative National Action Party, or PAN, and its presidential candidate, Josefina Vazquez Mota, trail in the polls, even though formal campaigning hasn't begun yet. Far ahead is Enrique Peña Nieto, a former governor who hopes to guide the Institutional Revolutionary Party, or PRI, back into power after 12 years on the sidelines."
"259","Natanz is the centerpiece of Iran's efforts to make its own nuclear fuel. But Iran said earlier this week it was expanding some operations to a bunker-like site south of Tehran protected under 300 feet of rock. The existence of the Fordo facility has been known for more than two years, but some Western officials fear the opening of the labs could be another step toward developing nuclear arms."
"260","2 large boneless, skinless chicken breasts"
"261","ICE says the decision is consistent with the agency's focus on deporting foreigners convicted of crimes."
"262","""I was trying to keep the ball down but I was a little bit off the plate. I was leaving the ball a little bit up."""
"263","Rated: R for intense realistically graphic sequences of war violence."
"264","""That was the first time I've ever really gone into the studio,"" Lexi said. ""It was almost surreal, like, putting the headphones on and having a $14,000 mike in front of you, and you're, like, 'Omigosh! Omigosh! How am I going to do this?' """
"265","The search for the 24-year-old woman led to the eventual discovery of 10 bodies strewn along several miles of beach highway on a barrier island south of Long Island. Police do not believe Gilbert’s disappearance is related to the killings of the 10 people whose remains were found in the area."
"266","After 18 TV seasons and a chart-topping $74 million debut last weekend for ""The Simpsons Movie,"" any fan worth his weight in Krusty Burgers knows that creator Matt Groening named the Simpsons after members of his own Portland family."
"267","Gaber said he hoped, if the concessions are approved, the $130,000 difference would be used to rehire teachers. If the FTEA does not agree, the board will have to make cuts elsewhere."
"268","Several distributors and home winemakers liked what they tasted and began to ask for grapes and juice. They'd been buying Napa Valley grapes and juice, but prices were rising and supplies were tightening. When they looked at a map, saw how close Fairfield is to Napa, and then looked at how much less costly Suisun Valley grapes were compared with fruit out of Napa Valley, they started to place their orders."
"269","Faried has been working diligently on his midrange game with assistants Patrick Mutombo and Chad Iske. It was Mutombo who told Faried: "" 'Hey, one day you're going to have to step up and make the big shot.' I got the pass from Ty (Lawson), wasn't scared, stepped up and made the shot."""
"270","Huntington got both ends of Oregon's fourth-quarter touchdown. He intercepted a Quaker pass at the Penn 43; after Johnny Parsons ran 42 yards to the 1, Huntington went around end for the touchdown and kicked the extra point."
"271","Kevin Shattenkirk netted the lone goal for the Blues."
"272","more customers. UE also has spent tens of millions of dollars on energy-efficiency programs to help Missourians save on utility bills."
"273","To argue otherwise is pretty naive in this day and time. If Atlanta doesn’t do it, some other city in search of an NFL team will be waving a lucrative aid package. Just ask cities that have lost sports teams."
"274","Whenever I do my own home-improvement projects, I feel as if I'm under her watchful eye, trying to meet her standards, which, of course, being mortal, I never do. When I take a domestic shortcut — and glue-gun a drape, or skip out on painting inside a closet, or use fake florals in a centerpiece, or cook with canned rather than home-brewed chicken stock — I imagine Stewart shaking her head. Hear her tsk, tsk."
"275","He said that many people have the mistaken impression that Habitat for Humanity gives people houses. It doesn't. It uses mortgage payments to build more homes. It's a partnership, and the partners know the rules, he said. Denson was well aware of what would happen if she fell 90 days behind, Weeks said."
"276","Sales and profit multiplied since he took over as CEO in 2003. Monsanto's stock price, even after falling from its prerecession peak, had soared from $12 to more than $80 a share during Grant's tenure. What's more, the company's scientists had only begun to tap the potential of genetically engineered crops - the engine at the heart of Monsanto's growth machine."
"277","If convicted, they each face up to 10 years in prison."
"278","A fountain might sound like a surprising addition when you're thinking water conservation, but even though recirculating fountains lose some water to evaporation and splash-out - the East Bay Municipal Utility District estimates that about 1 to 4 gallons per square foot of water per year gets lost to evaporation from pools - it still uses a lot less than the water lost to a large turf grass lawn, and the pleasure that people take in the sound of water can be well worth the trade-off."
"279","Livestrong at the Y is a 12-week physical activity program free to members of our community whose lives have been challenged with cancer. The Livestrong program enables the YMCA to offer participant’s educational seminars, childcare assistance and services for financial management. The program focus helps recovering cancer survivors; “get their lives back” physically, mentally and spiritually."
"280","And the Devils won that Cup with 31-year-old goalie Martin Brodeur leading the way. Brodeur turned 40 Sunday, and it's hard to imagine a better present for the big 4-0."
"281","""We've got to wait a few extra picks into the third day,"" Baalke said, ""but we feel very comfortable that we're going to get an awfully good football player with the pick."""
"282","325 Lafayette St., Newark; (973) 589-5539; madridlisbon.com"
"283","The one-time senior NSA manager was indicted last year on charges of taking classified information for the purposes of leaking it to then-Sun reporter Siobhan Gorman, who wrote a series of articles detailing problems with some of the agency's counterterrorism programs. Gorman, who was not named in the indictment, now works at The Wall Street Journal."
"284","He said that his only motivation as board president was ensuring student welfare and that ""it would be a disaster if some people's opinions about my role as board president jeopardized this support."""
"285","Jackson Burke, Cherry Creek 77-79—156"
"286","Ultimately, yes."
"287","Ed Zumwinkel, pastor at Hope United Church of Christ, which borders Francis Park, likes the essence of the race because it's great for the city and supports Team Activity for Special Kids, a nonprofit group that provides opportunities for disabled kids to enjoy sports."
"288","The wide-ranging search encompasses surrounding counties, Adams said, adding Fernando Limas has been talking with investigators."
"289","Laurence Bergreen is the author, most recently, of ""Over the Edge of the World: Magellan's Terrifying Circumnavigation of the Globe,"" and has written biographies of Louis Armstrong, Al Capone and Irvi"
"290","The heady senior point guard just didn’t miss free throws late in big games and was absolutely superb, scoring 21 points in the fourth quarter of a CHSAA Archdiocesan semifinals win over Cardinal Hayes. Not only was Graves a leader, he was also St. Ray’s best shooter en route to the intersectional title."
"291","Important in the Madden case is whether Madden had ever removed herself from the argument and returned at any point. Prosecutors have alleged that she went into a kitchen to retrieve the knife used to stab Stewart to death."
"292","“It’s a home field advantage slash neutral site game in case you guys were wondering,” Kelly said, while much of the crowd laughed."
"293","""This event is not for professional poets,"" Mirosevich said. ""It is for people who have always wanted to pen a few lines that never have. Essentially, we are asking people who do not usually identify as poets to give it a shot."" Along with walking, writing poets and ""sea chantey"" singing singers, the event also features a crabbing demonstration. Additionally there will be barbeque and beverages for purchase at the Chit Chat Café."
"294","The virus will remain dormant in his body for the rest of his life, though, and he'll have to be careful if he gets flu-like symptoms to determine if it's returned."
"295","Dingell, attributed to Winston Churchill"
"296","""The City Council has been very supportive of this project,"" said Jim Hartshorn, West St. Paul's community development director. ""There is definitely a market for senior housing."""
"297","When the 63rd annual Golden Globes are dispersed, it will be the first time the award show airs on a Monday night in 12 years on NBC. The star-studded ceremony was moved from Sunday so ""it wouldn't be in direct competition with the NFL playoffs,"" said Wendy Luckenbill, the network's vice president of entertainment publicity."
"298","""You are not your job,"" I insist. ""You are more than your occupation."""
"299","""Iran has lost a lot by voluntarily accepting the additional protocol for snap visits to nuclear sites before,"" said Hamid Reza Taraghi of the Islamic Coalition Party, who has close ties to supreme leader Ayatollah Ali Khamenei. ""The inspectors of IAEA turned out to be spies and our nuclear scientists were exposed and some of them assassinated."""
"300","Ryder hinted at possible party sanctions. He said the county party’s Central Committee is planning to meet as early as next week on the subject of Grendell."
"301","Excerpt: LSU-Oregon at Cowboys Stadium in Arlington, Texas, to kick off the season has become more than one of those season-opening, neutral-field eyebrow raisers. It has become historic. According to college football historian Richard Billingsley, the game marks only the third time two top-five teams have opened the season on a neutral field."
"302","Sheen tries to get boys back"
"303","The feature premiered Saturday night with Tim Tebow ranking 95th and Broncos running back Willis McGahee listed 98th. Tebow's response: ""It's an honor for me to be on this list."""
"304","He has looked dominant in the 145-pound featherweight division and hasn't lost as a featherweight since October 2009. His wrestling background - he has placed first at the Pan American Games and the world championships - makes him a formidable opponent."
"305","For the first nine months of this year, Ohio sales were off 3.4 percent from the same period of 2010."
"306","Love Triangle!? Wearing her kitty ears, Catwoman pleads with a broken Batman to abandon Gotham, insisting he's given its citizens enough. And her mannerisms give the slightest suggestion that he should abscond with her. In another moment, Batman is out of his batsuit and into Wayne's Wall Street suspenders, kissing on Marion Cotillard. Please, please tell us we get to see these two ladies catfight?"
"307","Authorities said a neighbor awoke to the smell of smoke and evacuated one of the homes. When no one answered in the other home, Keizer police forced entry and determined it was unoccupied."
"308","The state Assembly Tuesday voted 136 to 3 to create a privately financed scholarship fund to help the children of immigrants pay college tuitions."
"309","The fire in the 1500 bock of North Hoyne Avenue was already out when firefighters arrived after receiving a report of smoke in the building at 5:11 a.m., according to Fire Media Affairs. The fire was put out by a sprinkler, but not before the woman's bedding caught fire, according to Fire Media Affairs."
"310","""This is the major leagues, if you can't handle pressure, then you can go bag groceries or something,"" Wilson said. ""No one in here feels pressure in that regard. We don't care what anybody says or what you guys write. We're trying to play the best baseball we can. If we play bad baseball, we lose."""
"311","""We had no money and we were begging, borrowing and I hesitate to say stealing, that would be the wrong place, but ... that's the way we were operating,'' Ryan said, according to a transcript of his formal interview with the Legislative Auditor's Office."
"312","Jim Fisher, chairman of the marketing department at St. Louis University, said he would not be surprised if Schnucks focused on having a tighter regional presence now."
"313","6620 NE Emerson St ; 1,358 square feet; $185,725"
"314","Coconut milk — the Caribbean influence — injects a velvety richness to the stewed beef and pork; they soak up the seasoned milk like a Thai or Indonesian rendang curry. Coconut milk also lends its richness to rice dishes. It's widely joked that if you get tired of beans and rice in Belize, you can always have rice and beans. Any Belizean will tell you the two are entirely different."
"315","The LU-Belleville men (19-10) enter as the No. 3 seed and will face No. 6 Apprentice (Va.) University in the opening round at 1:15 p.m. today. The Lynx finished the regular season ranked No. 2 among USCAA Division I schools and will be out to improve on their 1-2 finish at last year's national event. Junior Matt Sturdivant (Chicago) leads LU-Belleville in scoring at 16.9 points a game."
"316","Fortune used the influx of cash from the golf sale to reduce debt and strengthen Beam's balance sheet."
"317","Partners for Patriots: Clearview pro Renee Powell and the PGA of America are working together to create an organization to aid female veterans who have been injured or dealing with post-traumatic stress disorder. It is called H.O.P.E. (Helping Our Patriots Everywhere)."
"318","Although he has hinted at this in the past and at other venues, for the first time here, James said he erred in the way he left. That admission came in response to a question about whether he had tried to patch things up with Cavs owner Dan Gilbert, who blasted James in an open letter to Cavs fans -- in comic sans type -- after James' defection."
"319","Daniel M. Rogers, 19, was driving east on Powerline Road about 2 a.m. on Sunday, the state police said. He didn't stop his 1999 Jeep Grand Cherokee where Powerline ends in an intersection with Liberty Ridge Road."
"320","Sandy D'Alemberte, the former president of both Florida State University and the American Bar Association, detailed those things in his letter to the Florida Supreme Court that called for creating the Florida Actual Innocence Commission."
"321","Waters admitted that a 900 crossed his mind, but he was more focused on the series in January 2004, when he went 300-300-202 for an 802 at Cloverleaf Lanes."
"322","10. Change the locks."
"323","Since scoring 15 points against Howard in week five, Oakland Mills has scored less points each week since (7, 6, 0). If the Scorpions can score two touchdowns against a Hammond defense that has allowed 73 points in the last two weeks, it would be a small victory at the end of a long season."
"324","In an hour-long, expletive-free news conference on Thursday, Stern dismissed those concerns and said that he fully understands that ""America's Got Talent"" is a family show."
"325","The gusher was contained in mid-July after a temporary cap was successfully fitted atop the well. Mud and cement were later pushed down through the top of the well, allowing the cap to be removed. But the blown-out well cannot be declared dead until it is sealed from the bottom."
"326","While there is something inventive in how the filmmakers have Olsen frequently carrying a lantern to provide her own soft glamour lighting, it's becomes laughable the way time and again one can imagine the instruction from behind the camera to raise her arm just a bit higher to better feature her cleavage."
"327","BEACHWOOD, Ohio -- DDR Corp. kept honing its portfolio in late 2011, as the company sold off less-desirable real estate and focused on its core business of big-box shopping centers."
"328","And the award goes to . . . well, in Sunday night's episode of AMC's ""Mad Men,"" it was Don Draper (Jon Hamm) picking up a major advertising award. Just coincidence that this episode aired opposite NBC's coverage of the 62nd annual prime-time Emmys, where ""Mad Men"" won the awards for best drama and writing for a drama?"
"329","PARIS—France's air-traffic authority said Monday that at least a third of flights to and from the nation's airports will be canceled Tuesday, as protests against President Nicolas Sarkozy's proposed pension overhaul intensified."
"330","""The everyday worker is probably not aware of what is going on,"" Ruiz said."
"331","The Libertarian Party failed to reach the 2 percent threshold for any of its statewide candidates in the Nov. 4 election _ a first since it appeared on Missouri's ballot in 1992, said Libertarian Party Executive Director Greg Tlapek."
"332","Instead, over the next two decades, the 62-year-old minister in rural Elkader, Iowa, began hearing the stories of gay men and lesbians. Sometimes the people he spoke with were gay, sometimes they were people with gay relatives. The conversations caused him to rethink his long-held views and eventually shifted Klosterboer's stance to a point where he supports the right of same-sex couples to get married."
"333","But in the meantime, he's gained much more."
"334","“There is at least one board member pushing to have the issue revisited,” Saxton said. “I support whatever the board decides on that.”"
"335","The Salem witch trials may have taken place in 1692, but you would never know it by wandering around town. (Alas, most of the witchery events took place in nearby Salem Village, now known as Danvers, but not to worry: Danvers also is discussed in the book.)"
"336","Julian Rogers (D)"
"337","""Elvis used to call me up around 2 a.m. or 3 a.m. and say, 'Hey Billy, let's go for a ride,' "" Strange recalled in 2002, when ""A Little Less Conversation,"" a song that he and Mac Davis had written for Presley 33 years earlier, suddenly was a hit again thanks to an electronic dance remix by Amsterdam DJ Junkie XL. ""I lost a dear friend when Elvis died. I couldn't bring myself to go to the funeral of one who expired so needlessly and tragically."""
"338","Ley is named because he took advantage of his role as a host father to sexually abuse the boy."
"339","""Our games won't be on ESPN, unless we make the playoffs, but it's still college football,"" Cunha said. ""I'm sure for all the recruits, to know where you're going is definitely peace of mind."""
"340","The road bends left and becomes Higel Avenue. Follow the right fork as it turns into Ocean Boulevard. This picturesque street leads through the center of the village, and beach accesses are on both sides at the end of the road. Parking is free on the streets and in the public lots."
"341","MEN'S COLLEGE LACROSSE"
"342","Top-ranked Subway was the only dining establishment to crack the top 10, with its increasing emphasis on fresh and healthy ingredients and sodium reduction while maintaining its reputation for budget meals."
"343","The appearance by the Cheneys was part of a book tour for “In My Time,” a biography of the former vice president that the two co-wrote. In the book, Dick Cheney is critical of Powell and Armitage for not revealing the source of the leak to the president."
"344","2. ""Contraband"""
"345","Six years later, there's been no regret. Far from it."
"346","""It's amazing that there are almost no restaurants down here on the beach,"" says Zislis. ""The fact that my partners bought this real estate — a four-story restaurant right on the beach — is amazing. Not only does it not happen in Manhattan Beach, it doesn't happen in the South Bay, period."""
"347","-- Nancy Rommelmann"
"348","Chief Financial Officer Lois Scott, who has spearheaded the Wrigley talks for Emanuel, could not be reached for comment."
"349","Mayors who say tight budgets have forced them to cut services didn’t get any assurances today that Trenton will send more state aid their way."
"350","Ann Arbor Juggling Festival 2012: The Ann Arbor Juggling Club hosts games, lessons, workshops, prop vendors and open juggling, 10 a.m.-5 p.m. Sat. WideWorld Sports Center, 2140 Oak Valley, Ann Arbor. 248-990-8084."
"351","Though many opponents agreed that the state needs a permitting process for certain kinds of wild animals, they said they couldn't afford the cost of becoming affiliated with organizations."
"352","""Oh, boy, we're headed home,"" the former Massachusetts governor said as he stood in the aisle of the campaign charter plane that has carried him to Ohio, Idaho, Washington state and back to Ohio in the past week alone."
"353","Kim, a surprise nominee of President Barack Obama, was selected in a vote by the World Bank's 25-member executive board. He'll succeed Robert Zoellick, who's stepping down after a five year term."
"354","Collective, which has been looking for a buyer since August, has agreed to an offer from a group including Hush Puppies' Rockford, Mich.-based owner Wolverine Worldwide Inc. and private investment firms Blum Capital Partners and Golden Gate Capital."
"355","""Beijing was a great learning experience,"" Mango said, noting that his chief competition probably has shifted some but adding, ""It will still be stacked."""
"356","Chesser, who will retire as CEO at the end of the month, said the utility still needed to offer adequate compensation to attract and keep talent."
"357","-- Lee, Gold Canyon"
"358","Even before the photos were published online, Pentagon press secretary George Little said Panetta ""rejects the conduct depicted in these two-year-old photographs."""
"359","Police said Thursday they suspect the shooter was connected to a black Cadillac Escalade SUV with large chrome rims, low tires and tinted windows. Crime Stoppers is offering a cash reward of up to $1,000 for information leading to an arrest."
"360","By Grace-Marie Turner"
"361","Shields Date Garden, Indio, CA: This beloved desert tourist attraction offers mango and mango-date shakes, but we stand by the classic Shields Date Shake, insanely sweet yet not cloying. And, yes, they’re still playing their inimitable movie, The Romance and Sex Life of the Date. $; 80-225 State 111; 760/347-7768."
"362","Sonoma County isn't the only region inviting visitors to get up close and personal with the vines."
"363","2. Choose one or more glazes. These will blend with each other and the base coat to create different colors and hues. You may use oil-based glazes or water-based (latex) glazes."
"364","1/2 cup (1 stick) cold unsalted butter, cut into chunks"
